GameStamp;GameStamp.offset;GameStamp.score
Test.GameStamp;0;Test.Score
Test.GameStamp;3;Test.Score
Test.GameStamp;6;Test.Score
Test.GameStamp;9;Test.Score
Test.GameStamp;12;Test.Score
Test.GameStamp;15;Test.Score
Test.GameStamp;18;Test.Score
Test.GameStamp;21;Test.Score
Test.GameStamp;24;Test.Score
Test.GameStamp;27;Test.Score
Test.GameStamp;30;Test.Score
Test.GameStamp;33;Test.Score
Test.GameStamp;36;Test.Score
Test.GameStamp;39;Test.Score
Test.GameStamp;42;Test.Score
Test.GameStamp;45;Test.Score
Test.GameStamp;48;Test.Score
Test.GameStamp;51;Test.Score
Test.GameStamp;54;Test.Score
Test.GameStamp;57;Test.Score
Test.GameStamp;60;Test.Score
Test.GameStamp;63;Test.Score
Test.GameStamp;66;Test.Score
Test.GameStamp;69;Test.Score
Test.GameStamp;72;Test.Score
Test.GameStamp;75;Test.Score
Test.GameStamp;78;Test.Score
Test.GameStamp;81;Test.Score
Test.GameStamp;84;Test.Score
Test.GameStamp;87;Test.Score
Test.GameStamp;90;Test.Score
Test.GameStamp;93;Test.Score
Test.GameStamp;96;Test.Score
Test.GameStamp;99;Test.Score
Test.GameStamp;102;Test.Score
Test.GameStamp;105;Test.Score
Test.GameStamp;108;Test.Score
Test.GameStamp;111;Test.Score
Test.GameStamp;114;Test.Score
Test.GameStamp;117;Test.Score
Test.GameStamp;120;Test.Score
Test.GameStamp;123;Test.Score
Test.GameStamp;126;Test.Score
Test.GameStamp;129;Test.Score
Test.GameStamp;132;Test.Score
Test.GameStamp;135;Test.Score
Test.GameStamp;138;Test.Score
Test.GameStamp;141;Test.Score
Test.GameStamp;144;Test.Score
Test.GameStamp;147;Test.Score
Test.GameStamp;150;Test.Score
Test.GameStamp;153;Test.Score
Test.GameStamp;156;Test.Score
Test.GameStamp;159;Test.Score
Test.GameStamp;162;Test.Score
Test.GameStamp;165;Test.Score
Test.GameStamp;168;Test.Score
Test.GameStamp;171;Test.Score
Test.GameStamp;174;Test.Score
Test.GameStamp;177;Test.Score
Test.GameStamp;180;Test.Score
Test.GameStamp;183;Test.Score
Test.GameStamp;186;Test.Score
Test.GameStamp;189;Test.Score
Test.GameStamp;192;Test.Score
Test.GameStamp;195;Test.Score
Test.GameStamp;198;Test.Score
Test.GameStamp;201;Test.Score
Test.GameStamp;204;Test.Score
Test.GameStamp;207;Test.Score
Test.GameStamp;210;Test.Score
Test.GameStamp;213;Test.Score
Test.GameStamp;216;Test.Score
Test.GameStamp;219;Test.Score
Test.GameStamp;222;Test.Score
Test.GameStamp;225;Test.Score
Test.GameStamp;228;Test.Score
Test.GameStamp;231;Test.Score
Test.GameStamp;234;Test.Score
Test.GameStamp;237;Test.Score
Test.GameStamp;240;Test.Score
Test.GameStamp;243;Test.Score
Test.GameStamp;246;Test.Score
Test.GameStamp;249;Test.Score
Test.GameStamp;252;Test.Score
Test.GameStamp;255;Test.Score
Test.GameStamp;258;Test.Score
Test.GameStamp;261;Test.Score
Test.GameStamp;264;Test.Score
Test.GameStamp;267;Test.Score
Test.GameStamp;270;Test.Score
Test.GameStamp;273;Test.Score
Test.GameStamp;276;Test.Score
Test.GameStamp;279;Test.Score
Test.GameStamp;282;Test.Score
Test.GameStamp;285;Test.Score
Test.GameStamp;288;Test.Score
Test.GameStamp;291;Test.Score
Test.GameStamp;294;Test.Score
Test.GameStamp;297;Test.Score
Test.GameStamp;300;Test.Score
Test.GameStamp;303;Test.Score
Test.GameStamp;306;Test.Score
Test.GameStamp;309;Test.Score
Test.GameStamp;312;Test.Score
Test.GameStamp;315;Test.Score
Test.GameStamp;318;Test.Score
Test.GameStamp;321;Test.Score
Test.GameStamp;324;Test.Score
Test.GameStamp;327;Test.Score
Test.GameStamp;330;Test.Score
Test.GameStamp;333;Test.Score
Test.GameStamp;336;Test.Score
Test.GameStamp;339;Test.Score
Test.GameStamp;342;Test.Score
Test.GameStamp;345;Test.Score
Test.GameStamp;348;Test.Score
Test.GameStamp;351;Test.Score
Test.GameStamp;354;Test.Score
Test.GameStamp;357;Test.Score
Test.GameStamp;360;Test.Score
Test.GameStamp;363;Test.Score
Test.GameStamp;366;Test.Score
Test.GameStamp;369;Test.Score
Test.GameStamp;372;Test.Score
Test.GameStamp;375;Test.Score
Test.GameStamp;378;Test.Score
Test.GameStamp;381;Test.Score
Test.GameStamp;384;Test.Score
Test.GameStamp;387;Test.Score
Test.GameStamp;390;Test.Score
Test.GameStamp;393;Test.Score
Test.GameStamp;396;Test.Score
Test.GameStamp;399;Test.Score
Test.GameStamp;402;Test.Score
Test.GameStamp;405;Test.Score
Test.GameStamp;408;Test.Score
Test.GameStamp;411;Test.Score
Test.GameStamp;414;Test.Score
Test.GameStamp;417;Test.Score
Test.GameStamp;420;Test.Score
Test.GameStamp;423;Test.Score
Test.GameStamp;426;Test.Score
Test.GameStamp;429;Test.Score
Test.GameStamp;432;Test.Score
Test.GameStamp;435;Test.Score
Test.GameStamp;438;Test.Score
Test.GameStamp;441;Test.Score
Test.GameStamp;444;Test.Score
Test.GameStamp;447;Test.Score
Test.GameStamp;450;Test.Score
Test.GameStamp;453;Test.Score
Test.GameStamp;456;Test.Score
Test.GameStamp;459;Test.Score
Test.GameStamp;462;Test.Score
Test.GameStamp;465;Test.Score
Test.GameStamp;468;Test.Score
Test.GameStamp;471;Test.Score
Test.GameStamp;474;Test.Score
Test.GameStamp;477;Test.Score
Test.GameStamp;480;Test.Score
Test.GameStamp;483;Test.Score
Test.GameStamp;486;Test.Score
Test.GameStamp;489;Test.Score
Test.GameStamp;492;Test.Score
Test.GameStamp;495;Test.Score
Test.GameStamp;498;Test.Score
Test.GameStamp;501;Test.Score
Test.GameStamp;504;Test.Score
Test.GameStamp;507;Test.Score
Test.GameStamp;510;Test.Score
Test.GameStamp;513;Test.Score
Test.GameStamp;516;Test.Score
Test.GameStamp;519;Test.Score
Test.GameStamp;522;Test.Score
Test.GameStamp;525;Test.Score
Test.GameStamp;528;Test.Score
Test.GameStamp;531;Test.Score
Test.GameStamp;534;Test.Score
Test.GameStamp;537;Test.Score
Test.GameStamp;540;Test.Score
Test.GameStamp;543;Test.Score
Test.GameStamp;546;Test.Score
Test.GameStamp;549;Test.Score
Test.GameStamp;552;Test.Score
Test.GameStamp;555;Test.Score
Test.GameStamp;558;Test.Score
Test.GameStamp;561;Test.Score
Test.GameStamp;564;Test.Score
Test.GameStamp;567;Test.Score
Test.GameStamp;570;Test.Score
Test.GameStamp;573;Test.Score
Test.GameStamp;576;Test.Score
Test.GameStamp;579;Test.Score
Test.GameStamp;582;Test.Score
Test.GameStamp;585;Test.Score
Test.GameStamp;588;Test.Score
Test.GameStamp;591;Test.Score
Test.GameStamp;594;Test.Score
Test.GameStamp;597;Test.Score
Test.GameStamp;600;Test.Score
Test.GameStamp;603;Test.Score
Test.GameStamp;606;Test.Score
Test.GameStamp;609;Test.Score
Test.GameStamp;612;Test.Score
Test.GameStamp;615;Test.Score
Test.GameStamp;618;Test.Score
Test.GameStamp;621;Test.Score
Test.GameStamp;624;Test.Score
Test.GameStamp;627;Test.Score
Test.GameStamp;630;Test.Score
Test.GameStamp;633;Test.Score
Test.GameStamp;636;Test.Score
Test.GameStamp;639;Test.Score
Test.GameStamp;642;Test.Score
Test.GameStamp;645;Test.Score
Test.GameStamp;648;Test.Score
Test.GameStamp;651;Test.Score
Test.GameStamp;654;Test.Score
Test.GameStamp;657;Test.Score
Test.GameStamp;660;Test.Score
Test.GameStamp;663;Test.Score
Test.GameStamp;666;Test.Score
Test.GameStamp;669;Test.Score
Test.GameStamp;672;Test.Score
Test.GameStamp;675;Test.Score
Test.GameStamp;678;Test.Score
Test.GameStamp;681;Test.Score
Test.GameStamp;684;Test.Score
Test.GameStamp;687;Test.Score
Test.GameStamp;690;Test.Score
Test.GameStamp;693;Test.Score
Test.GameStamp;696;Test.Score
Test.GameStamp;699;Test.Score
Test.GameStamp;702;Test.Score
Test.GameStamp;705;Test.Score
Test.GameStamp;708;Test.Score
Test.GameStamp;711;Test.Score
Test.GameStamp;714;Test.Score
Test.GameStamp;717;Test.Score
Test.GameStamp;720;Test.Score
Test.GameStamp;723;Test.Score
Test.GameStamp;726;Test.Score
Test.GameStamp;729;Test.Score
Test.GameStamp;732;Test.Score
Test.GameStamp;735;Test.Score
Test.GameStamp;738;Test.Score
Test.GameStamp;741;Test.Score
Test.GameStamp;744;Test.Score
Test.GameStamp;747;Test.Score
Test.GameStamp;750;Test.Score
Test.GameStamp;753;Test.Score
Test.GameStamp;756;Test.Score
Test.GameStamp;759;Test.Score
Test.GameStamp;762;Test.Score
Test.GameStamp;765;Test.Score
Test.GameStamp;768;Test.Score
Test.GameStamp;771;Test.Score
Test.GameStamp;774;Test.Score
Test.GameStamp;777;Test.Score
Test.GameStamp;780;Test.Score
Test.GameStamp;783;Test.Score
Test.GameStamp;786;Test.Score
Test.GameStamp;789;Test.Score
Test.GameStamp;792;Test.Score
Test.GameStamp;795;Test.Score
Test.GameStamp;798;Test.Score
Test.GameStamp;801;Test.Score
Test.GameStamp;804;Test.Score
Test.GameStamp;807;Test.Score
Test.GameStamp;810;Test.Score
Test.GameStamp;813;Test.Score
Test.GameStamp;816;Test.Score
Test.GameStamp;819;Test.Score
Test.GameStamp;822;Test.Score
Test.GameStamp;825;Test.Score
Test.GameStamp;828;Test.Score
Test.GameStamp;831;Test.Score
Test.GameStamp;834;Test.Score
Test.GameStamp;837;Test.Score
Test.GameStamp;840;Test.Score
Test.GameStamp;843;Test.Score
Test.GameStamp;846;Test.Score
Test.GameStamp;849;Test.Score
Test.GameStamp;852;Test.Score
Test.GameStamp;855;Test.Score
Test.GameStamp;858;Test.Score
Test.GameStamp;861;Test.Score
Test.GameStamp;864;Test.Score
Test.GameStamp;867;Test.Score
Test.GameStamp;870;Test.Score
Test.GameStamp;873;Test.Score
Test.GameStamp;876;Test.Score
Test.GameStamp;879;Test.Score
Test.GameStamp;882;Test.Score
Test.GameStamp;885;Test.Score
Test.GameStamp;888;Test.Score
Test.GameStamp;891;Test.Score
Test.GameStamp;894;Test.Score
Test.GameStamp;897;Test.Score
